Tiempo(s),Operaciones_completadas
0.102741,1
0.103123,2
0.103754,3
0.203345,4
0.203867,5
0.204518,6
0.303723,7
0.304344,8
0.304724,9
0.404425,10
0.404804,11
0.405322,12
0.505154,13
0.505559,14
0.505571,15
0.605738,16
0.606305,17
0.606328,18
0.705876,19
0.706431,20
0.706432,21
0.806638,22
0.807087,23
0.807096,24
0.907184,25
0.907709,26
0.907713,27
1.007478,28
1.007963,29
1.007972,30
1.107905,31
1.108336,32
1.108346,33
1.208320,34
1.209373,35
1.209384,36
1.308933,37
1.309529,38
1.310107,39
1.409750,40
1.410177,41
1.410624,42
1.510311,43
1.510661,44
1.511271,45
1.610853,46
1.611264,47
1.612036,48
1.712087,49
1.712104,50
1.712799,51
1.812294,52
1.812752,53
1.813252,54
1.912679,55
1.912846,56
1.913537,57
2.013256,58
2.013264,59
2.013605,60
2.113427,61
2.113694,62
2.113979,63
2.213925,64
2.214382,65
2.214396,66
2.314288,67
2.315022,68
2.315033,69
2.414634,70
2.415100,71
2.415618,72
2.514979,73
2.515414,74
2.515939,75
2.615677,76
2.616111,77
2.616690,78
2.717813,79
2.717913,80
2.717949,81
2.818327,82
2.818335,83
2.818338,84
2.918775,85
2.918781,86
2.918782,87
3.019480,88
3.019488,89
3.019490,90
3.120067,91
3.120077,92
3.120081,93
3.220358,94
3.220368,95
3.220941,96
3.320575,97
3.320896,98
3.321477,99
3.420784,100
3.421320,101
3.421873,102
3.521523,103
3.521951,104
3.522632,105
3.622902,106
3.622918,107
3.623711,108
3.723201,109
3.723222,110
3.724108,111
3.824080,112
3.824324,113
3.824710,114
3.924937,115
3.924948,116
3.925199,117
4.025376,118
4.025381,119
4.025383,120
4.126328,121
4.126343,122
4.126346,123
4.226958,124
4.227207,125
4.227217,126
4.327958,127
4.328123,128
4.328129,129
4.428168,130
4.428426,131
4.428632,132
4.529187,133
4.529193,134
4.529196,135
4.630166,136
4.630180,137
4.630184,138
4.730891,139
4.730903,140
4.730906,141
4.830747,142
4.831364,143
4.831373,144
4.930977,145
4.931535,146
4.931538,147
5.031272,148
5.031670,149
5.032216,150
5.131667,151
5.132138,152
5.132584,153
5.231925,154
5.232498,155
5.233174,156
5.332416,157
5.332812,158
5.333406,159
5.433203,160
5.433212,161
5.433519,162
5.533513,163
5.533519,164
5.533897,165
5.633976,166
5.633982,167
5.634351,168
5.734756,169
5.734767,170
5.734770,171
5.834984,172
5.834990,173
5.835288,174
5.935409,175
5.935419,176
5.935822,177
6.035972,178
6.035980,179
6.036439,180
6.136102,181
6.136893,182
6.136908,183
6.236523,184
6.237128,185
6.237132,186
6.336820,187
6.337758,188
6.337765,189
6.437380,190
6.437867,191
6.438455,192
6.537949,193
6.538480,194
6.538962,195
6.638551,196
6.638995,197
6.639552,198
6.739152,199
6.739608,200
6.740232,201
6.839544,202
6.839769,203
6.840809,204
6.939838,205
6.940277,206
6.941512,207
7.040212,208
7.040542,209
7.042062,210
7.140795,211
7.141709,212
7.142990,213
7.241421,214
7.242297,215
7.243305,216
7.341809,217
7.342733,218
7.343887,219
7.442317,220
7.443276,221
7.444083,222
7.543043,223
7.543459,224
7.544481,225
7.643265,226
7.643749,227
7.644805,228
7.743616,229
7.744200,230
7.745442,231
7.844368,232
7.844373,233
7.845851,234
7.944958,235
7.944968,236
7.946472,237
8.045923,238
8.045939,239
8.047358,240
8.146268,241
8.146277,242
8.147658,243
8.246945,244
8.246952,245
8.248183,246
8.347120,247
8.347128,248
8.348702,249
8.447627,250
8.447962,251
8.449527,252
8.547810,253
8.548265,254
8.549884,255
8.648373,256
8.648753,257
8.650289,258
8.749155,259
8.749488,260
8.750987,261
8.849477,262
8.849993,263
8.851322,264
8.949806,265
8.950251,266
8.951779,267
9.050246,268
9.050715,269
9.052259,270
9.150580,271
9.151338,272
9.152677,273
9.251043,274
9.251483,275
9.253184,276
9.351180,277
9.351715,278
9.353438,279
9.451630,280
9.452182,281
9.453784,282
9.552139,283
9.552556,284
9.554073,285
9.655966,286
9.656871,287
9.656885,288
9.755468,289
9.756653,290
9.756656,291
9.855700,292
9.856746,293
9.856750,294
9.956274,295
9.957280,296
9.957285,297
10.056859,298
10.057868,299
10.057871,300
