Tiempo(s),Operaciones_completadas
0.101170,1
0.101659,2
0.103412,3
0.103765,4
0.104696,5
0.104713,6
0.201957,7
0.202285,8
0.204040,9
0.204641,10
0.205393,11
0.205405,12
0.302967,13
0.303273,14
0.304671,15
0.305241,16
0.306031,17
0.306046,18
0.403655,19
0.403661,20
0.405005,21
0.405771,22
0.406312,23
0.406314,24
0.504729,25
0.504746,26
0.505795,27
0.506305,28
0.506883,29
0.506896,30
0.604511,31
0.605011,32
0.606094,33
0.606609,34
0.607338,35
0.607345,36
0.704944,37
0.705399,38
0.706547,39
0.707055,40
0.707762,41
0.707768,42
0.805614,43
0.806248,44
0.807388,45
0.807835,46
0.808522,47
0.808536,48
0.906462,49
0.906973,50
0.908386,51
0.908399,52
0.909027,53
0.909044,54
1.006794,55
1.007213,56
1.008744,57
1.008750,58
1.009274,59
1.009278,60
1.107865,61
1.107877,62
1.109407,63
1.109416,64
1.109914,65
1.109928,66
1.208131,67
1.208638,68
1.209619,69
1.209628,70
1.210127,71
1.210131,72
1.308792,73
1.309242,74
1.309990,75
1.310302,76
1.310697,77
1.310713,78
1.409467,79
1.409940,80
1.410403,81
1.411031,82
1.411272,83
1.411283,84
1.510120,85
1.510817,86
1.511143,87
1.511731,88
1.511740,89
1.511742,90
1.610476,91
1.610906,92
1.611394,93
1.612370,94
1.612373,95
1.612375,96
1.711006,97
1.711239,98
1.711530,99
1.712208,100
1.712215,101
1.712612,102
1.811380,103
1.811778,104
1.811783,105
1.812326,106
1.812329,107
1.812804,108
1.911927,109
1.911937,110
1.912423,111
1.912857,112
1.912860,113
1.913397,114
2.012599,115
2.012608,116
2.013267,117
2.013702,118
2.013716,119
2.014011,120
2.113098,121
2.113105,122
2.113388,123
2.114011,124
2.114020,125
2.114461,126
2.213747,127
2.213762,128
2.214250,129
2.214810,130
2.215144,131
2.215149,132
2.314415,133
2.314859,134
2.315676,135
2.315688,136
2.315691,137
2.315695,138
2.415279,139
2.416053,140
2.416067,141
2.416496,142
2.416947,143
2.416961,144
2.516237,145
2.516252,146
2.516561,147
2.517344,148
2.517357,149
2.517793,150
2.616343,151
2.616832,152
2.616838,153
2.617245,154
2.617723,155
2.618411,156
2.716767,157
2.717067,158
2.717307,159
2.717619,160
2.718135,161
2.718626,162
2.817420,163
2.818137,164
2.818147,165
2.818150,166
2.819338,167
2.819349,168
2.918297,169
2.918306,170
2.918309,171
2.918501,172
2.919912,173
2.919927,174
3.018419,175
3.018425,176
3.018751,177
3.018754,178
3.019790,179
3.020323,180
3.119011,181
3.119185,182
3.120009,183
3.120016,184
3.120241,185
3.120877,186
3.219342,187
3.219546,188
3.220616,189
3.220849,190
3.220852,191
3.221029,192
3.320376,193
3.320929,194
3.321465,195
3.321478,196
3.321848,197
3.322192,198
3.421210,199
3.421218,200
3.421358,201
3.422223,202
3.422524,203
3.422783,204
3.522253,205
3.522268,206
3.522273,207
3.523202,208
3.523211,209
3.523371,210
3.622430,211
3.622637,212
3.623033,213
3.623976,214
3.623986,215
3.623989,216
3.723404,217
3.723419,218
3.723757,219
3.724197,220
3.724211,221
3.724733,222
3.824051,223
3.824066,224
3.824384,225
3.824884,226
3.824897,227
3.825499,228
3.924549,229
3.924563,230
3.924871,231
3.925330,232
3.925343,233
3.925999,234
4.024624,235
4.024943,236
4.025161,237
4.025472,238
4.025678,239
4.026934,240
4.125206,241
4.125713,242
4.125722,243
4.125725,244
4.126410,245
4.127520,246
4.225880,247
4.226166,248
4.226470,249
4.227001,250
4.227013,251
4.228002,252
4.326602,253
4.327659,254
4.327671,255
4.327674,256
4.327677,257
4.328914,258
4.427536,259
4.427550,260
4.428010,261
4.428375,262
4.428385,263
4.429691,264
4.528086,265
4.528095,266
4.528517,267
4.528524,268
4.528852,269
4.529901,270
4.628275,271
4.628730,272
4.628737,273
4.629401,274
4.629413,275
4.630108,276
4.728723,277
4.729176,278
4.729190,279
4.730017,280
4.730031,281
4.730913,282
4.829338,283
4.829815,284
4.829826,285
4.830301,286
4.830313,287
4.831589,288
4.931061,289
4.931077,290
4.931082,291
4.931085,292
4.931543,293
4.932251,294
5.031355,295
5.031367,296
5.031857,297
5.031876,298
5.032099,299
5.032876,300
